Query,IndexStrategy1,IndexStrategy2,t_stat,p_value
query_1,no_indexes,single_column_indexes,95.09703770817562,2.0187503027826288e-55
query_1,no_indexes,composite_indexes,4.791777904919113,1.2167236114969945e-05
query_1,no_indexes,partial_indexes,9.62196637750646,6.15706292048979e-12
query_1,no_indexes,expression_indexes,-3.6279682246801332,0.0010659622450496533
query_1,no_indexes,covering_indexes,1.6055224420050602,0.11540089463296056
query_1,single_column_indexes,composite_indexes,-80.80172314934023,3.3417182477832424e-49
query_1,single_column_indexes,partial_indexes,-135.83844452403943,1.176981957285315e-69
query_1,single_column_indexes,expression_indexes,-14.390847428167675,8.63829311570322e-15
query_1,single_column_indexes,covering_indexes,-55.555321703514096,1.1047273825915169e-35
query_1,composite_indexes,partial_indexes,2.690867961492895,0.01058142050184574
query_1,composite_indexes,expression_indexes,-4.324855332124694,0.00015792187854244522
query_1,composite_indexes,covering_indexes,-1.8015678865102394,0.07785768358633313
query_1,partial_indexes,expression_indexes,-4.665579396978629,6.371143116834159e-05
query_1,partial_indexes,covering_indexes,-3.791361420777745,0.0006203157432917135
query_1,expression_indexes,covering_indexes,3.910244112250337,0.00047128907470074825
query_2,no_indexes,single_column_indexes,24.011424563710833,8.743547204423847e-26
query_2,no_indexes,composite_indexes,16.94972121866487,2.4853872402409735e-20
query_2,no_indexes,partial_indexes,5.194187326652045,5.377558819669028e-06
query_2,no_indexes,expression_indexes,0.5026585724158172,0.6178901792819183
query_2,no_indexes,covering_indexes,3.1710654002122274,0.0027929467075111162
query_2,single_column_indexes,composite_indexes,-11.456012911007383,1.6115124031255003e-16
query_2,single_column_indexes,partial_indexes,-30.07122483466742,6.378908077778004e-37
query_2,single_column_indexes,expression_indexes,-11.537247493164852,6.860742380891747e-13
query_2,single_column_indexes,covering_indexes,-33.12979898908719,3.673543001695169e-39
query_2,composite_indexes,partial_indexes,-18.61658971066012,4.153134497632644e-26
query_2,composite_indexes,expression_indexes,-8.023225769345277,3.752586128491947e-09
query_2,composite_indexes,covering_indexes,-21.707910324561475,1.805622331517259e-29
query_2,partial_indexes,expression_indexes,-2.1028636908410534,0.04337860171390124
query_2,partial_indexes,covering_indexes,-3.140293959627789,0.0026555646543412054
query_2,expression_indexes,covering_indexes,1.0769366566815335,0.2894884262336982
query_3,no_indexes,single_column_indexes,7.1178698392804005,8.38396875746497e-09
query_3,no_indexes,composite_indexes,5.807260511803661,3.2146802340977327e-07
query_3,no_indexes,partial_indexes,5.847197352756868,3.0789099609115853e-07
query_3,no_indexes,expression_indexes,4.415682909198679,5.089397884410145e-05
query_3,no_indexes,covering_indexes,1.8278427136407505,0.07273436875358026
query_3,single_column_indexes,composite_indexes,-0.5771593917900589,0.5664591989693486
query_3,single_column_indexes,partial_indexes,-0.7985962992038137,0.4281856899927733
