Query,IndexStrategy,mean,median,std,var,min,max,count
query_1,composite_indexes,2839.7658666666666,2812.1825,267.22564899953557,71409.54748322298,2408.75,3358.751,30
query_1,covering_indexes,3010.6944,3010.241,249.3632048993927,62182.00795769651,2589.316,3561.808,30
query_1,expression_indexes,3019.9462,3062.571,265.3254267154803,70397.58206175173,2503.159,3534.564,30
query_1,no_indexes,2509.9776666666667,2504.383,136.41290209717977,18608.479858574756,2332.48,2846.563,30
query_1,partial_indexes,2750.8708666666666,2698.0595,255.8870446858352,65478.17963805063,2449.364,3416.143,30
query_1,single_column_indexes,2353.6399333333334,2367.559,189.02997098780548,35732.32993165059,2009.644,2661.019,30
query_2,composite_indexes,99.20503333333333,99.09100000000001,8.457230827801302,71.5247532747127,89.122,121.412,30
query_2,covering_indexes,143.1673,137.11950000000002,19.620131842767677,384.94957352758615,127.34,223.251,30
query_2,expression_indexes,151.27103333333335,143.041,27.254739248094253,742.8208114816093,125.584,218.83,30
query_2,no_indexes,139.89696666666666,133.606,18.909971422658117,357.5870192057466,121.715,202.249,30
query_2,partial_indexes,148.54083333333335,145.644,15.375805149836776,236.4153840057471,128.343,181.527,30
query_2,single_column_indexes,90.59283333333333,88.7965,9.450632892812667,89.31446207471272,78.948,120.593,30
query_3,composite_indexes,188.02496666666667,186.582,21.858879531626524,477.81061437816095,155.971,247.716,30
query_3,covering_indexes,174.42886666666666,175.749,17.74588112819682,314.916297016092,146.55,220.837,30
query_3,expression_indexes,180.67046666666664,173.50799999999998,24.64656342517684,607.4530886712647,153.391,243.351,30
query_3,no_indexes,169.46256666666667,162.3385,22.732672553539253,516.7744014264368,143.333,221.244,30
query_3,partial_indexes,183.93566666666666,184.706,18.511762065822065,342.68533478160884,150.711,219.296,30
query_3,single_column_indexes,174.08046666666667,166.977,19.820779583355293,392.863303291954,149.549,218.063,30
query_4,composite_indexes,819.7713666666666,836.3525,85.82121377024944,7365.280732998854,678.401,1016.051,30
query_4,covering_indexes,1319.2030666666665,1313.0675,137.1691240858457,18815.36860247814,1125.685,1720.109,30
query_4,expression_indexes,1186.8769666666667,1177.536,95.30882132979461,9083.771423274711,1063.985,1460.429,30
query_4,no_indexes,1070.8558,1054.669,66.37841517126094,4406.094000648285,968.937,1196.922,30
query_4,partial_indexes,1054.1987333333334,1048.5405,73.3017169276895,5373.141704547122,940.787,1208.729,30
query_4,single_column_indexes,166.39426666666668,166.692,7.796692733563967,60.78841758160916,153.773,184.179,30
query_5,composite_indexes,1143.8179333333333,1152.009,84.08406354067718,7070.129741512638,1008.949,1336.575,30
query_5,covering_indexes,1292.9149666666667,1313.8335,78.946140067894,6232.4930316195405,1121.674,1407.518,30
query_5,expression_indexes,1323.4058333333335,1313.6365,113.7634329499487,12942.118676557471,1154.822,1646.809,30
query_5,no_indexes,1223.6437333333333,1203.591,104.3138954541675,10881.388784822986,1074.468,1518.235,30
query_5,partial_indexes,1231.6248333333335,1184.0605,219.13682367212766,48020.94748910917,1029.445,2092.186,30
query_5,single_column_indexes,1140.7627333333332,1125.3815,96.55813273697133,9323.472997650573,990.596,1368.873,30
query_6,composite_indexes,919.8234,888.7860000000001,117.05832262641712,13702.65089611036,768.378,1198.396,30
query_6,covering_indexes,949.6559333333333,950.927,89.25868970386342,7967.113687650574,818.535,1168.813,30
query_6,expression_indexes,1061.9977000000001,1062.347,95.32827107644476,9087.479266424136,910.552,1252.224,30
query_6,no_indexes,862.5144,851.183,58.211914304014506,3388.626966937929,783.111,970.06,30
query_6,partial_indexes,979.6352333333333,930.653,116.13271258844584,13486.806933150567,834.92,1184.041,30
query_6,single_column_indexes,911.6446,907.099,47.780910873521954,2283.015443903448,839.551,1032.459,30
query_7,composite_indexes,666.5313333333332,643.3415,64.97981316045633,4222.376118367814,599.831,821.365,30
query_7,covering_indexes,827.3395666666668,810.047,80.60355391483864,6496.9329037023,689.394,1024.116,30
query_7,expression_indexes,804.375,801.323,71.9129567760627,5171.473352275862,671.595,959.092,30
query_7,no_indexes,660.7815333333333,646.5654999999999,56.128490042004536,3150.4073943954027,602.088,797.463,30
query_7,partial_indexes,796.6452,791.163,92.59032270442925,8572.967858510348,646.991,959.193,30
query_7,single_column_indexes,680.7340333333334,663.5315,56.21438264081987,3160.05681568851,621.658,802.065,30
