Query,IndexStrategy,mean,median,std,var,min,max,count
query_1,composite_indexes,131.43953333333332,131.476,1.5790028877555098,2.493250119540239,127.429,134.525,30
query_1,covering_indexes,132.42836666666668,131.658,2.5582458629698404,6.544621895402304,129.796,141.001,30
query_1,expression_indexes,142.79776666666666,135.375,14.297741431678174,204.42541004712663,129.618,169.836,30
query_1,no_indexes,133.2824,132.90050000000002,1.394280647551965,1.9440185241379266,131.408,136.643,30
query_1,partial_indexes,130.6076,130.706,0.611814181842369,0.37431659310344734,129.246,131.723,30
query_1,single_column_indexes,105.16969999999999,104.91650000000001,0.8232485756084714,0.6777382172413771,104.058,106.609,30
query_2,composite_indexes,6.592533333333334,6.568,0.1881189523410254,0.03538874022988499,6.331,7.168,30
query_2,covering_indexes,7.680033333333333,7.664,0.19975579631369778,0.039902378160919516,7.303,8.09,30
query_2,expression_indexes,7.849233333333333,7.588,0.837033995244758,0.7006259091954015,7.341,10.821,30
query_2,no_indexes,7.934,7.871,0.39054303484886993,0.15252386206896562,7.424,9.157,30
query_2,partial_indexes,7.519066666666666,7.473,0.1972829113898028,0.038920547126436784,7.291,7.91,30
query_2,single_column_indexes,6.044833333333333,6.059,0.18215966534378827,0.03318214367816094,5.772,6.45,30
query_3,composite_indexes,19.7958,19.7,0.3815078432781676,0.1455482344827589,19.332,20.773,30
query_3,covering_indexes,20.2109,20.056,0.5021455586470578,0.25215016206896573,19.378,21.159,30
query_3,expression_indexes,19.9727,19.876,0.3358655467850815,0.11280566551724179,19.498,20.634,30
query_3,no_indexes,20.4415,20.337,0.47469734459497087,0.22533756896551654,19.687,21.509,30
query_3,partial_indexes,19.810533333333336,19.723,0.3521286729291586,0.12399460229885036,19.34,20.701,30
query_3,single_column_indexes,19.7481,19.764499999999998,0.2436459203080551,0.05936333448275914,19.328,20.198,30
query_4,composite_indexes,33.915333333333336,33.897000000000006,0.2963850400307381,0.08784409195402225,33.509,34.718,30
query_4,covering_indexes,207.0398,206.61,4.19509236592244,17.598799958620734,201.459,221.971,30
query_4,expression_indexes,205.1169,204.801,2.6046953935351955,6.784438093103468,201.626,211.915,30
query_4,no_indexes,205.95046666666667,205.72,2.060970858154213,4.247600878160913,203.255,212.395,30
query_4,partial_indexes,204.28036666666668,204.27949999999998,1.5577300789451813,2.426522998850561,201.565,207.529,30
query_4,single_column_indexes,7.608833333333334,7.588,0.19278522681512938,0.03716614367816089,7.264,8.027,30
query_5,composite_indexes,7593.194233333333,7599.74,37.172686214369314,1381.8086003919623,7489.422,7649.282,30
query_5,covering_indexes,8053.651400000001,8034.541,153.44048354230569,23543.981989696586,7861.26,8378.506,30
query_5,expression_indexes,7804.4946666666665,7736.961,160.79112348469673,25853.785391470992,7616.248,8214.588,30
query_5,no_indexes,8002.1701,8078.254,230.76632358541283,53253.09610112746,7531.04,8260.31,30
query_5,partial_indexes,7510.5922,7510.9835,47.878030889132134,2292.305841820691,7418.243,7683.111,30
query_5,single_column_indexes,7518.936933333333,7512.046,37.58669535696728,1412.7596678574657,7455.534,7628.272,30
query_6,composite_indexes,3774.4261666666666,3775.537,9.953484155476998,99.07184683333165,3752.513,3788.894,30
query_6,covering_indexes,3824.7167333333337,3820.7200000000003,20.94815416431609,438.8251628919535,3786.138,3882.206,30
query_6,expression_indexes,3898.0902666666666,3905.8199999999997,100.69235686226715,10138.950730478158,3773.834,4125.308,30
query_6,no_indexes,3794.1475666666665,3791.2475,10.243592478945525,104.93118687470933,3778.368,3813.67,30
query_6,partial_indexes,3758.2933666666668,3760.316,10.33044444243128,106.7180823781593,3737.377,3775.964,30
query_6,single_column_indexes,3779.874333333333,3778.093,10.020896880960883,100.41837429885157,3761.813,3797.154,30
query_7,composite_indexes,5055.7599666666665,5105.132,93.37394607353636,8718.693805343677,4904.886,5162.028,30
query_7,covering_indexes,674.8380333333333,674.9095,3.742296026582443,14.004779550574742,668.919,682.153,30
query_7,expression_indexes,5947.423599999999,5786.0935,660.0986200267458,435730.1881612142,5219.79,7595.69,30
query_7,no_indexes,5093.6547666666675,5130.375,79.37936467703572,6301.083536529827,4907.168,5192.846,30
query_7,partial_indexes,5170.8811,5184.9695,198.738468791551,39496.97897761029,4946.433,6090.357,30
query_7,single_column_indexes,5146.698133333333,5158.0135,66.25337970285432,4389.510322050588,4962.558,5252.243,30
