Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_4,21,220.611,Baseline,no_indexes,Medium
query_4,22,219.934,Baseline,no_indexes,Medium
query_4,23,223.504,Baseline,no_indexes,Medium
query_4,24,224.876,Baseline,no_indexes,Medium
query_4,25,217.926,Baseline,no_indexes,Medium
query_4,26,221.814,Baseline,no_indexes,Medium
query_4,27,220.422,Baseline,no_indexes,Medium
query_4,28,220.985,Baseline,no_indexes,Medium
query_4,29,216.717,Baseline,no_indexes,Medium
query_4,30,220.607,Baseline,no_indexes,Medium
query_5,1,8393.841,Baseline,no_indexes,Medium
query_5,2,8210.448,Baseline,no_indexes,Medium
query_5,3,8138.487,Baseline,no_indexes,Medium
query_5,4,8206.767,Baseline,no_indexes,Medium
query_5,5,8138.35,Baseline,no_indexes,Medium
query_5,6,8323.795,Baseline,no_indexes,Medium
query_5,7,8453.825,Baseline,no_indexes,Medium
query_5,8,8224.39,Baseline,no_indexes,Medium
query_5,9,8378.612,Baseline,no_indexes,Medium
query_5,10,8292.675,Baseline,no_indexes,Medium
query_5,11,8307.365,Baseline,no_indexes,Medium
query_5,12,8372.117,Baseline,no_indexes,Medium
query_5,13,8335.242,Baseline,no_indexes,Medium
query_5,14,8400.375,Baseline,no_indexes,Medium
query_5,15,8387.306,Baseline,no_indexes,Medium
query_5,16,8379.234,Baseline,no_indexes,Medium
query_5,17,8247.885,Baseline,no_indexes,Medium
query_5,18,8469.858,Baseline,no_indexes,Medium
query_5,19,8449.661,Baseline,no_indexes,Medium
query_5,20,8696.69,Baseline,no_indexes,Medium
query_5,21,8644.11,Baseline,no_indexes,Medium
query_5,22,8599.575,Baseline,no_indexes,Medium
query_5,23,8647.201,Baseline,no_indexes,Medium
query_5,24,8393.841,Baseline,no_indexes,Medium
query_5,25,8699.664,Baseline,no_indexes,Medium
query_5,26,8694.454,Baseline,no_indexes,Medium
query_5,27,8701.204,Baseline,no_indexes,Medium
query_5,28,8657.98,Baseline,no_indexes,Medium
query_5,29,8669.118,Baseline,no_indexes,Medium
query_5,30,8624.084,Baseline,no_indexes,Medium
query_6,1,6953.655,Baseline,no_indexes,Medium
query_6,2,7121.862,Baseline,no_indexes,Medium
query_6,3,6925.095,Baseline,no_indexes,Medium
query_6,4,6931.085,Baseline,no_indexes,Medium
query_6,5,6871.858,Baseline,no_indexes,Medium
query_6,6,6838.155,Baseline,no_indexes,Medium
query_6,7,6849.9,Baseline,no_indexes,Medium
query_6,8,6908.704,Baseline,no_indexes,Medium
query_6,9,6910.11,Baseline,no_indexes,Medium
query_6,10,7256.137,Baseline,no_indexes,Medium
query_6,11,7081.874,Baseline,no_indexes,Medium
query_6,12,7057.752,Baseline,no_indexes,Medium
query_6,13,7071.467,Baseline,no_indexes,Medium
query_6,14,7069.766,Baseline,no_indexes,Medium
query_6,15,7049.616,Baseline,no_indexes,Medium
query_6,16,7109.176,Baseline,no_indexes,Medium
query_6,17,7041.47,Baseline,no_indexes,Medium
query_6,18,7017.557,Baseline,no_indexes,Medium
query_6,19,7195.956,Baseline,no_indexes,Medium
query_6,20,7228.83,Baseline,no_indexes,Medium
query_6,21,7004.426,Baseline,no_indexes,Medium
query_6,22,7071.83,Baseline,no_indexes,Medium
query_6,23,7410.061,Baseline,no_indexes,Medium
query_6,24,7071.648,Baseline,no_indexes,Medium
query_6,25,7071.648,Baseline,no_indexes,Medium
query_6,26,7286.562,Baseline,no_indexes,Medium
query_6,27,7103.202,Baseline,no_indexes,Medium
query_6,28,7230.8,Baseline,no_indexes,Medium
query_6,29,7280.657,Baseline,no_indexes,Medium
query_6,30,7502.316,Baseline,no_indexes,Medium
query_7,1,8472.215,Baseline,no_indexes,Medium
query_7,2,8719.153,Baseline,no_indexes,Medium
query_7,3,8467.937,Baseline,no_indexes,Medium
query_7,4,8208.855,Baseline,no_indexes,Medium
query_7,5,8133.165,Baseline,no_indexes,Medium
query_7,6,8815.58,Baseline,no_indexes,Medium
query_7,7,8066.681,Baseline,no_indexes,Medium
query_7,8,9155.341,Baseline,no_indexes,Medium
query_7,9,9072.719,Baseline,no_indexes,Medium
query_7,10,9017.435,Baseline,no_indexes,Medium
query_7,11,8720.813,Baseline,no_indexes,Medium
query_7,12,8143.043,Baseline,no_indexes,Medium
query_7,13,8689.372,Baseline,no_indexes,Medium
query_7,14,8235.445,Baseline,no_indexes,Medium
query_7,15,8400.811,Baseline,no_indexes,Medium
query_7,16,8412.374,Baseline,no_indexes,Medium
query_7,17,9108.92,Baseline,no_indexes,Medium
query_7,18,9155.41,Baseline,no_indexes,Medium
query_7,19,8411.152,Baseline,no_indexes,Medium
query_7,20,8405.982,Baseline,no_indexes,Medium
query_7,21,8009.589,Baseline,no_indexes,Medium
query_7,22,7755.669,Baseline,no_indexes,Medium
query_7,23,7919.785,Baseline,no_indexes,Medium
query_7,24,8026.067,Baseline,no_indexes,Medium
query_7,25,8295.67,Baseline,no_indexes,Medium
query_7,26,7906.32,Baseline,no_indexes,Medium
query_7,27,7922.362,Baseline,no_indexes,Medium
query_7,28,7784.43,Baseline,no_indexes,Medium
query_7,29,8512.75,Baseline,no_indexes,Medium
query_7,30,8405.982,Baseline,no_indexes,Medium
query_1,1,123.725,Baseline,single_column_indexes,Medium
query_1,2,120.618,Baseline,single_column_indexes,Medium
query_1,3,119.323,Baseline,single_column_indexes,Medium
query_1,4,119.011,Baseline,single_column_indexes,Medium
query_1,5,118.273,Baseline,single_column_indexes,Medium
query_1,6,123.077,Baseline,single_column_indexes,Medium
query_1,7,119.115,Baseline,single_column_indexes,Medium
query_1,8,119.449,Baseline,single_column_indexes,Medium
query_1,9,120.432,Baseline,single_column_indexes,Medium
query_1,10,119.216,Baseline,single_column_indexes,Medium
query_1,11,119.301,Baseline,single_column_indexes,Medium
query_1,12,117.651,Baseline,single_column_indexes,Medium
query_1,13,122.453,Baseline,single_column_indexes,Medium
query_1,14,117.021,Baseline,single_column_indexes,Medium
query_1,15,116.913,Baseline,single_column_indexes,Medium
query_1,16,122.376,Baseline,single_column_indexes,Medium
query_1,17,117.28,Baseline,single_column_indexes,Medium
query_1,18,123.1,Baseline,single_column_indexes,Medium
query_1,19,119.736,Baseline,single_column_indexes,Medium
query_1,20,120.034,Baseline,single_column_indexes,Medium
query_1,21,119.837,Baseline,single_column_indexes,Medium
query_1,22,119.622,Baseline,single_column_indexes,Medium
query_1,23,119.508,Baseline,single_column_indexes,Medium
query_1,24,117.76,Baseline,single_column_indexes,Medium
query_1,25,119.323,Baseline,single_column_indexes,Medium
query_1,26,119.345,Baseline,single_column_indexes,Medium
query_1,27,117.727,Baseline,single_column_indexes,Medium
query_1,28,119.024,Baseline,single_column_indexes,Medium
query_1,29,116.938,Baseline,single_column_indexes,Medium
query_1,30,117.247,Baseline,single_column_indexes,Medium
query_2,1,6.892,Baseline,single_column_indexes,Medium
query_2,2,6.783,Baseline,single_column_indexes,Medium
query_2,3,7.652,Baseline,single_column_indexes,Medium
query_2,4,6.557,Baseline,single_column_indexes,Medium
query_2,5,6.949,Baseline,single_column_indexes,Medium
query_2,6,6.409,Baseline,single_column_indexes,Medium
query_2,7,8.003,Baseline,single_column_indexes,Medium
query_2,8,6.131,Baseline,single_column_indexes,Medium
query_2,9,6.453,Baseline,single_column_indexes,Medium
query_2,10,6.533,Baseline,single_column_indexes,Medium
query_2,11,8.041,Baseline,single_column_indexes,Medium
query_2,12,7.437,Baseline,single_column_indexes,Medium
query_2,13,6.818,Baseline,single_column_indexes,Medium
query_2,14,6.826,Baseline,single_column_indexes,Medium
query_2,15,7.349,Baseline,single_column_indexes,Medium
query_2,16,6.673,Baseline,single_column_indexes,Medium
query_2,17,6.599,Baseline,single_column_indexes,Medium
query_2,18,6.188,Baseline,single_column_indexes,Medium
query_2,19,6.687,Baseline,single_column_indexes,Medium
query_2,20,6.38,Baseline,single_column_indexes,Medium
query_2,21,6.345,Baseline,single_column_indexes,Medium
query_2,22,6.673,Baseline,single_column_indexes,Medium
query_2,23,6.703,Baseline,single_column_indexes,Medium
query_2,24,6.61,Baseline,single_column_indexes,Medium
query_2,25,6.755,Baseline,single_column_indexes,Medium
query_2,26,6.13,Baseline,single_column_indexes,Medium
query_2,27,6.395,Baseline,single_column_indexes,Medium
query_2,28,6.617,Baseline,single_column_indexes,Medium
query_2,29,6.658,Baseline,single_column_indexes,Medium
query_2,30,7.815,Baseline,single_column_indexes,Medium
query_3,1,22.036,Baseline,single_column_indexes,Medium
query_3,2,23.054,Baseline,single_column_indexes,Medium
query_3,3,23.764,Baseline,single_column_indexes,Medium
query_3,4,21.218,Baseline,single_column_indexes,Medium
query_3,5,22.769,Baseline,single_column_indexes,Medium
query_3,6,23.152,Baseline,single_column_indexes,Medium
query_3,7,23.148,Baseline,single_column_indexes,Medium
query_3,8,22.928,Baseline,single_column_indexes,Medium
query_3,9,22.92,Baseline,single_column_indexes,Medium
query_3,10,22.69,Baseline,single_column_indexes,Medium
query_3,11,22.758,Baseline,single_column_indexes,Medium
query_3,12,23.646,Baseline,single_column_indexes,Medium
query_3,13,21.439,Baseline,single_column_indexes,Medium
query_3,14,22.769,Baseline,single_column_indexes,Medium
query_3,15,20.904,Baseline,single_column_indexes,Medium
query_3,16,23.291,Baseline,single_column_indexes,Medium
query_3,17,23.139,Baseline,single_column_indexes,Medium
query_3,18,23.584,Baseline,single_column_indexes,Medium
query_3,19,21.653,Baseline,single_column_indexes,Medium
query_3,20,22.15,Baseline,single_column_indexes,Medium
query_3,21,22.378,Baseline,single_column_indexes,Medium
query_3,22,21.549,Baseline,single_column_indexes,Medium
query_3,23,21.568,Baseline,single_column_indexes,Medium
query_3,24,22.78,Baseline,single_column_indexes,Medium
query_3,25,24.052,Baseline,single_column_indexes,Medium
query_3,26,20.955,Baseline,single_column_indexes,Medium
query_3,27,21.616,Baseline,single_column_indexes,Medium
query_3,28,22.154,Baseline,single_column_indexes,Medium
query_3,29,22.698,Baseline,single_column_indexes,Medium
query_3,30,23.477,Baseline,single_column_indexes,Medium
query_4,1,115.531,Baseline,single_column_indexes,Medium
query_4,2,116.444,Baseline,single_column_indexes,Medium
query_4,3,114.174,Baseline,single_column_indexes,Medium
query_4,4,114.621,Baseline,single_column_indexes,Medium
query_4,5,117.288,Baseline,single_column_indexes,Medium
query_4,6,115.45,Baseline,single_column_indexes,Medium
query_4,7,116.245,Baseline,single_column_indexes,Medium
query_4,8,115.48,Baseline,single_column_indexes,Medium
query_4,9,113.389,Baseline,single_column_indexes,Medium
query_4,10,115.025,Baseline,single_column_indexes,Medium
query_4,11,113.873,Baseline,single_column_indexes,Medium
query_4,12,114.257,Baseline,single_column_indexes,Medium
query_4,13,114.51,Baseline,single_column_indexes,Medium
query_4,14,113.884,Baseline,single_column_indexes,Medium
query_4,15,112.659,Baseline,single_column_indexes,Medium
query_4,16,112.008,Baseline,single_column_indexes,Medium
query_4,17,112.259,Baseline,single_column_indexes,Medium
query_4,18,114.399,Baseline,single_column_indexes,Medium
query_4,19,113.274,Baseline,single_column_indexes,Medium
query_4,20,112.553,Baseline,single_column_indexes,Medium
query_4,21,113.642,Baseline,single_column_indexes,Medium
query_4,22,113.368,Baseline,single_column_indexes,Medium
query_4,23,118.935,Baseline,single_column_indexes,Medium
query_4,24,115.527,Baseline,single_column_indexes,Medium
query_4,25,116.978,Baseline,single_column_indexes,Medium
query_4,26,115.884,Baseline,single_column_indexes,Medium
query_4,27,114.339,Baseline,single_column_indexes,Medium
query_4,28,122.674,Baseline,single_column_indexes,Medium
query_4,29,115.959,Baseline,single_column_indexes,Medium
query_4,30,114.51,Baseline,single_column_indexes,Medium
query_5,1,9004.377,Baseline,single_column_indexes,Medium
query_5,2,8334.508,Baseline,single_column_indexes,Medium
query_5,3,8946.715,Baseline,single_column_indexes,Medium
query_5,4,8832.255,Baseline,single_column_indexes,Medium
query_5,5,8899.908,Baseline,single_column_indexes,Medium
query_5,6,8832.871,Baseline,single_column_indexes,Medium
query_5,7,8926.133,Baseline,single_column_indexes,Medium
query_5,8,8124.367,Baseline,single_column_indexes,Medium
query_5,9,8049.638,Baseline,single_column_indexes,Medium
query_5,10,8048.078,Baseline,single_column_indexes,Medium
query_5,11,8302.101,Baseline,single_column_indexes,Medium
query_5,12,8735.827,Baseline,single_column_indexes,Medium
query_5,13,8368.025,Baseline,single_column_indexes,Medium
query_5,14,8334.508,Baseline,single_column_indexes,Medium
query_5,15,8239.8,Baseline,single_column_indexes,Medium
query_5,16,8518.818,Baseline,single_column_indexes,Medium
query_5,17,8335.444,Baseline,single_column_indexes,Medium
query_5,18,8350.017,Baseline,single_column_indexes,Medium
query_5,19,8079.753,Baseline,single_column_indexes,Medium
query_5,20,8333.572,Baseline,single_column_indexes,Medium
query_5,21,8428.857,Baseline,single_column_indexes,Medium
query_5,22,8084.956,Baseline,single_column_indexes,Medium
query_5,23,8159.062,Baseline,single_column_indexes,Medium
query_5,24,7945.15,Baseline,single_column_indexes,Medium
