Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_4,21,205.325,High Memory,no_indexes,Medium
query_4,22,206.922,High Memory,no_indexes,Medium
query_4,23,208.101,High Memory,no_indexes,Medium
query_4,24,205.229,High Memory,no_indexes,Medium
query_4,25,206.018,High Memory,no_indexes,Medium
query_4,26,205.296,High Memory,no_indexes,Medium
query_4,27,203.514,High Memory,no_indexes,Medium
query_4,28,204.549,High Memory,no_indexes,Medium
query_4,29,205.643,High Memory,no_indexes,Medium
query_4,30,204.478,High Memory,no_indexes,Medium
query_5,1,8075.291,High Memory,no_indexes,Medium
query_5,2,8066.621,High Memory,no_indexes,Medium
query_5,3,8209.558,High Memory,no_indexes,Medium
query_5,4,8144.419,High Memory,no_indexes,Medium
query_5,5,8078.254,High Memory,no_indexes,Medium
query_5,6,8162.803,High Memory,no_indexes,Medium
query_5,7,8169.482,High Memory,no_indexes,Medium
query_5,8,8166.317,High Memory,no_indexes,Medium
query_5,9,8058.31,High Memory,no_indexes,Medium
query_5,10,8071.343,High Memory,no_indexes,Medium
query_5,11,8056.176,High Memory,no_indexes,Medium
query_5,12,8071.203,High Memory,no_indexes,Medium
query_5,13,8205.408,High Memory,no_indexes,Medium
query_5,14,8091.762,High Memory,no_indexes,Medium
query_5,15,8081.217,High Memory,no_indexes,Medium
query_5,16,8147.854,High Memory,no_indexes,Medium
query_5,17,8131.73,High Memory,no_indexes,Medium
query_5,18,8068.494,High Memory,no_indexes,Medium
query_5,19,8188.98,High Memory,no_indexes,Medium
query_5,20,8109.213,High Memory,no_indexes,Medium
query_5,21,8155.854,High Memory,no_indexes,Medium
query_5,22,8260.31,High Memory,no_indexes,Medium
query_5,23,8078.254,High Memory,no_indexes,Medium
query_5,24,7607.277,High Memory,no_indexes,Medium
query_5,25,7531.04,High Memory,no_indexes,Medium
query_5,26,7647.368,High Memory,no_indexes,Medium
query_5,27,7565.548,High Memory,no_indexes,Medium
query_5,28,7635.565,High Memory,no_indexes,Medium
query_5,29,7613.131,High Memory,no_indexes,Medium
query_5,30,7616.321,High Memory,no_indexes,Medium
query_6,1,3802.115,High Memory,no_indexes,Medium
query_6,2,3786.319,High Memory,no_indexes,Medium
query_6,3,3793.318,High Memory,no_indexes,Medium
query_6,4,3811.227,High Memory,no_indexes,Medium
query_6,5,3797.096,High Memory,no_indexes,Medium
query_6,6,3790.357,High Memory,no_indexes,Medium
query_6,7,3798.757,High Memory,no_indexes,Medium
query_6,8,3784.582,High Memory,no_indexes,Medium
query_6,9,3801.24,High Memory,no_indexes,Medium
query_6,10,3791.412,High Memory,no_indexes,Medium
query_6,11,3813.67,High Memory,no_indexes,Medium
query_6,12,3781.715,High Memory,no_indexes,Medium
query_6,13,3785.559,High Memory,no_indexes,Medium
query_6,14,3802.595,High Memory,no_indexes,Medium
query_6,15,3804.395,High Memory,no_indexes,Medium
query_6,16,3809.445,High Memory,no_indexes,Medium
query_6,17,3805.463,High Memory,no_indexes,Medium
query_6,18,3790.753,High Memory,no_indexes,Medium
query_6,19,3791.083,High Memory,no_indexes,Medium
query_6,20,3811.823,High Memory,no_indexes,Medium
query_6,21,3785.646,High Memory,no_indexes,Medium
query_6,22,3778.368,High Memory,no_indexes,Medium
query_6,23,3788.56,High Memory,no_indexes,Medium
query_6,24,3795.071,High Memory,no_indexes,Medium
query_6,25,3786.208,High Memory,no_indexes,Medium
query_6,26,3778.952,High Memory,no_indexes,Medium
query_6,27,3783.876,High Memory,no_indexes,Medium
query_6,28,3782.423,High Memory,no_indexes,Medium
query_6,29,3801.316,High Memory,no_indexes,Medium
query_6,30,3791.083,High Memory,no_indexes,Medium
query_7,1,4996.26,High Memory,no_indexes,Medium
query_7,2,4993.168,High Memory,no_indexes,Medium
query_7,3,4907.168,High Memory,no_indexes,Medium
query_7,4,5153.481,High Memory,no_indexes,Medium
query_7,5,5139.18,High Memory,no_indexes,Medium
query_7,6,5125.239,High Memory,no_indexes,Medium
query_7,7,5049.497,High Memory,no_indexes,Medium
query_7,8,5146.209,High Memory,no_indexes,Medium
query_7,9,4958.451,High Memory,no_indexes,Medium
query_7,10,5153.372,High Memory,no_indexes,Medium
