Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_4,23,1068.487,High Memory,no_indexes,Large
query_4,24,1015.617,High Memory,no_indexes,Large
query_4,25,976.226,High Memory,no_indexes,Large
query_4,26,968.937,High Memory,no_indexes,Large
query_4,27,986.904,High Memory,no_indexes,Large
query_4,28,1036.55,High Memory,no_indexes,Large
query_4,29,1031.942,High Memory,no_indexes,Large
query_4,30,1043.217,High Memory,no_indexes,Large
query_5,1,1204.767,High Memory,no_indexes,Large
query_5,2,1074.468,High Memory,no_indexes,Large
query_5,3,1170.2,High Memory,no_indexes,Large
query_5,4,1207.118,High Memory,no_indexes,Large
query_5,5,1518.235,High Memory,no_indexes,Large
query_5,6,1204.767,High Memory,no_indexes,Large
query_5,7,1316.869,High Memory,no_indexes,Large
query_5,8,1183.69,High Memory,no_indexes,Large
query_5,9,1120.449,High Memory,no_indexes,Large
query_5,10,1169.343,High Memory,no_indexes,Large
query_5,11,1138.877,High Memory,no_indexes,Large
query_5,12,1297.562,High Memory,no_indexes,Large
query_5,13,1286.888,High Memory,no_indexes,Large
query_5,14,1303.78,High Memory,no_indexes,Large
query_5,15,1455.298,High Memory,no_indexes,Large
query_5,16,1363.821,High Memory,no_indexes,Large
query_5,17,1138.542,High Memory,no_indexes,Large
query_5,18,1201.963,High Memory,no_indexes,Large
query_5,19,1157.336,High Memory,no_indexes,Large
query_5,20,1135.396,High Memory,no_indexes,Large
query_5,21,1109.197,High Memory,no_indexes,Large
query_5,22,1121.242,High Memory,no_indexes,Large
query_5,23,1134.306,High Memory,no_indexes,Large
query_5,24,1267.335,High Memory,no_indexes,Large
query_5,25,1210.064,High Memory,no_indexes,Large
query_5,26,1230.87,High Memory,no_indexes,Large
query_5,27,1264.949,High Memory,no_indexes,Large
query_5,28,1202.415,High Memory,no_indexes,Large
query_5,29,1369.407,High Memory,no_indexes,Large
query_5,30,1150.158,High Memory,no_indexes,Large
query_6,1,886.599,High Memory,no_indexes,Large
query_6,2,849.993,High Memory,no_indexes,Large
query_6,3,851.183,High Memory,no_indexes,Large
query_6,4,940.424,High Memory,no_indexes,Large
query_6,5,964.769,High Memory,no_indexes,Large
query_6,6,835.661,High Memory,no_indexes,Large
query_6,7,852.372,High Memory,no_indexes,Large
query_6,8,942.59,High Memory,no_indexes,Large
query_6,9,851.183,High Memory,no_indexes,Large
query_6,10,834.024,High Memory,no_indexes,Large
query_6,11,859.443,High Memory,no_indexes,Large
query_6,12,961.024,High Memory,no_indexes,Large
query_6,13,839.462,High Memory,no_indexes,Large
query_6,14,822.862,High Memory,no_indexes,Large
query_6,15,783.111,High Memory,no_indexes,Large
query_6,16,811.02,High Memory,no_indexes,Large
query_6,17,834.679,High Memory,no_indexes,Large
query_6,18,894.638,High Memory,no_indexes,Large
query_6,19,870.393,High Memory,no_indexes,Large
query_6,20,857.152,High Memory,no_indexes,Large
query_6,21,946.558,High Memory,no_indexes,Large
query_6,22,890.972,High Memory,no_indexes,Large
query_6,23,785.407,High Memory,no_indexes,Large
query_6,24,826.918,High Memory,no_indexes,Large
query_6,25,791.567,High Memory,no_indexes,Large
query_6,26,787.497,High Memory,no_indexes,Large
query_6,27,799.912,High Memory,no_indexes,Large
query_6,28,800.8,High Memory,no_indexes,Large
query_6,29,933.159,High Memory,no_indexes,Large
query_6,30,970.06,High Memory,no_indexes,Large
query_7,1,618.213,High Memory,no_indexes,Large
query_7,2,621.511,High Memory,no_indexes,Large
query_7,3,616.735,High Memory,no_indexes,Large
query_7,4,648.78,High Memory,no_indexes,Large
query_7,5,667.906,High Memory,no_indexes,Large
query_7,6,610.485,High Memory,no_indexes,Large
query_7,7,613.169,High Memory,no_indexes,Large
query_7,8,602.92,High Memory,no_indexes,Large
query_7,9,734.163,High Memory,no_indexes,Large
query_7,10,647.304,High Memory,no_indexes,Large
query_7,11,687.531,High Memory,no_indexes,Large
query_7,12,634.792,High Memory,no_indexes,Large
query_7,13,605.897,High Memory,no_indexes,Large
query_7,14,637.394,High Memory,no_indexes,Large
query_7,15,626.578,High Memory,no_indexes,Large
query_7,16,616.958,High Memory,no_indexes,Large
query_7,17,711.557,High Memory,no_indexes,Large
query_7,18,750.773,High Memory,no_indexes,Large
query_7,19,658.44,High Memory,no_indexes,Large
query_7,20,663.898,High Memory,no_indexes,Large
query_7,21,602.088,High Memory,no_indexes,Large
query_7,22,609.45,High Memory,no_indexes,Large
query_7,23,664.613,High Memory,no_indexes,Large
query_7,24,630.185,High Memory,no_indexes,Large
query_7,25,722.09,High Memory,no_indexes,Large
query_7,26,645.827,High Memory,no_indexes,Large
query_7,27,795.935,High Memory,no_indexes,Large
query_7,28,797.463,High Memory,no_indexes,Large
query_7,29,647.304,High Memory,no_indexes,Large
query_7,30,733.487,High Memory,no_indexes,Large
query_1,1,2377.948,High Memory,single_column_indexes,Large
query_1,2,2377.948,High Memory,single_column_indexes,Large
query_1,3,2661.019,High Memory,single_column_indexes,Large
query_1,4,2655.763,High Memory,single_column_indexes,Large
query_1,5,2537.06,High Memory,single_column_indexes,Large
query_1,6,2238.115,High Memory,single_column_indexes,Large
query_1,7,2559.652,High Memory,single_column_indexes,Large
query_1,8,2500.419,High Memory,single_column_indexes,Large
query_1,9,2293.347,High Memory,single_column_indexes,Large
query_1,10,2639.153,High Memory,single_column_indexes,Large
